,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
463,http://www.armslist.com/posts/5251463,For Sale/Trade:  S&W 1911SC E Series Bobtailed Commander,"NW Ohio - Defiance/Bryan, Ohio, United States","$ 1,100","Listed On: Tuesday, March 8, 2016",Handguns,Smith & Wesson                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"For Sale/Trade: S&W 1911SC E Series Bobtailed CommanderLocation: Bryan/DefianceValue $1100 OBOThe SW1911SC is a Scandium alloy-framed black anodized finish bobtailed 1911. The two-tone Commander model sports a stainless steel slide. The SW1911Sc’s an easy choice for concealed carry.The SW1911SC has a titanium firing pin, an over-sized extractor as well a Combat-style ejection port, Recessed muzzle, Precision-fit trigger, Trijicon Tritium front and rear night sights, Ambidextrous safety and 17 lines per inch front-strap checkering, 2 magazines and aggressive back strap striationsAll Federal and state laws apply. Must be over 21 years of age, legal to own, not a felon or been mentally adjudicated. Must have valid OH photo ID, CCW is preferred. Bill of Sale"
464,http://www.armslist.com/posts/5251464,For Sale:  Smith and Wesson 69 Revolver in 44 Mag,"Elma, Olympic Peninsula, Washington",$ 680,"Listed On: Sunday, March 20, 2016",Handguns,Smith & Wesson                                                                                ,44 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"East County Guns | 309 W Main Street | P O Box 757 |  Elma, Washington | 98541         Description: S&W M69 44M DA REV 4.25SS AS   Manufacturer: Smith & Wesson   Model #: Model 69 - Combat Magnum   Type: Revolver: Double Action   Finish: Glass Bead Stainless Steel   Stock: Synthetic Grip   Sights: Front: Red Ramp Rear: White Outline, Adjustable   Barrel: 4.25   Overall Length: 9.75   Weight: 37.2 oz   Caliber: 44M   Capacity: 5   Action: Double Action   # of Mags:     Chokes:     Packaging:     Receiver: Stainless Steel   Chamber:     Muzzle:     Features: Full Top Strap and Barrel Serration, L Frame2-Piece Barrel, Ball-Detent Lock UpPre-Owned"
466,http://www.armslist.com/posts/5251466,For Sale:  ANDERSON  AR15,"Ankeny, Des Moines, Iowa",$ 580,"Listed On: Sunday, March 13, 2016",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"For sale is a Anderson Manufacturing AR15 (556/223). This is new never fired. The lower was bought at a local gun shop and the upper was bought from Anderson manufacturing. Also added was Magpul buttstock, handgrip & handguard (FDE color). This has a removable carry handle/rear sight. There is close to $800 into this and I am only asking $580 for this! Must show permit and driver license. Also sign a bill of sale or transfer at ffl. Only reason for selling is due to having surgery and don't get paid while off work.Call or text REDACTED"
467,http://www.armslist.com/posts/5251467,For Sale:  Ruger Mini 14 Ranch rifle,"Winston Salem, Winston Salem, North Carolina",$ 600,"Listed On: Tuesday, March 8, 2016",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,Extremely clean Mini 14 with  a Bushnell scope
468,http://www.armslist.com/posts/5251468,For Sale:  Glock 24C,"Clintonville, Columbus, Ohio",$ 600,"Listed On: Tuesday, March 8, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"Glock 24C 40S&W Ported Long SlideThis is an unusual gun in that they really did not make them for very long.Gun is in great shape, has been test fired.   Previous owner had the barrel polished, other than that it is standard.We will ship to your FFL. Shipping is $20"
469,http://www.armslist.com/posts/5251469,For Sale:  Para 1911 .45ACP w/ Night Sights,"Rogers/Tontitown/Cave Springs, Fayetteville, Arkansas",$ 625,"Listed On: Tuesday, March 8, 2016",Handguns,Para Ordnance                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Para Expert Carry 1911 3"" 45 ACP with Meprolight Tru Dot Night Sights. Match Grade Barrel, 2 8-round mags. Tiny bit of holster wear on left side above the front of the trigger guard - otherwise in excellent condition. $625 - Rogers."
470,http://www.armslist.com/posts/5251470,For Sale/Trade:  NIB GLOCK 19 G4 BATTLEFIELD GREEN HEINIE SIGHTS ETC,"Mason, Ohio, United States",$ 680,"Listed On: Tuesday, March 8, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Up for grabs I have a brand new in the box, factory fired only, Glock 19 Generation 4 in the newest frame color option, Battlefield Green. Before I get into the pistol I want to make this as plain as day. My price is 100% firm and fair and I will I respond to offers below my asking price. Now for this pistol. I purchased this brand new from a dealer roughly two weeks ago and have decided to peruse other options. Again, the pistol is brand new and comes with the following items in the sale: Glock with factory case and paperwork ($579), New and installed Heinie Ledge Straight Eight night sights($170 w/install), one full box of Hornady Critical Duty +P ammo($25), digital army camp Kydex/leather in the waist hybrid holster from High Caliber Tactical($75), and a Bladetech appendix carry holster($40). As you can see in the above parentheses, I have $889 invested in this as a package deal which I will not separate. My price is $680 cash. I will listen to all reasonable trade offers for concealed carry pistol of equal value, however, I am very particular and trade value will be higher. Buyer must have CCW card to present at time of sale, sign a bill of sale form, cash only, and meet in Mason only. If you do not have a CCW, $680 cash to spend, and are not willing to meet in Mason do us both a favor and do not waste your and my time. If you have any questions please feel free to ask. Thanks for looking"
471,http://www.armslist.com/posts/5251471,For Sale:  Glock 42,"Festus, St. Louis, Missouri",$ 450,"Listed On: Tuesday, March 8, 2016",Handguns,Glock                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,"Like new Glock 42 for sale. Comes with 3 magazines, a leather galco iwb holster, talon grips (installed), and one Pierce extension. Bill of sale will be signed. Mo divers license required at time of transaction. Open to trades but prefer cash."
472,http://www.armslist.com/posts/5251472,For Sale:  Winchester 308 brass,"Veneta, Eugene, Oregon",$ 22,"Listed On: Sunday, March 20, 2016",Reloading,no type,no type,no type,no type,TZS Gunfire LLC (VENETA) FFL/SOTFor sale is BNIB Winchester 308 unprimed brass. $22/bag. each bag contains 50 pieces of brass. Cash price. If paying by CC add 3.5%
473,http://www.armslist.com/posts/5251473,"For Sale:  Taurus M44 Tracker .44 Magnum 4"" Barrel, 5 Round, Adjustable Sights, (Stainless Steel)","Golden, Denver, Colorado",$ 671,"Listed On: Thursday, May 26, 2016",Handguns,Taurus                                                                                ,44 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"Tracker-44C .44 Magnum 4"" SS 5rd DescriptionHammer forged stainless steel models of the Model 44 Tracker 5-shot in .44 Magnum will be appearing in backpacks and fishermen's tackle boxes, especially when there are bears and other predators around. The Taurus Tracker has established a standard for pack guns for hunters and hikers. The Tracker, finished in stainless steel, holds 5-rounds of .44 Magnum and carries the Taurus Security System and the exclusive Ribber Grip. Specifications:- Model: 44 TRACKER - Caliber: .44 MAG - Capacity: 5  - Barrel Length: 4"" - Porting: Yes - Action: Double Action/Single Action- Finish: Stainless Steel - Grips: Ribber Grip - Weight: 34 oz. - Construction: Steel - Frame: Tracker - Front Sight: Fixed - Rear Sight: Adjustable - Trigger Type: Smooth - Length: 9.1"" - Rate of Twist: 1:16"" - Grooves: 6 - Safety: Transfer Bar AMMUNITION JUNCTION is an online shooting retailer. We stock a large selection of ammunition, firearms, reloading supplies, knives, and a variety of other shooting accessories.   Firearms must be shipped to an FFL dealer.   Ammunition and other items will ship anywhere in the lower 48 within all applicable Federal, State, and Local Laws.    Visit our website at ammunitionjunction.com to place your order   All items on website display current stock quantities.   We accept Visa/MC/AE/Discover for payment – no fees    A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."
