,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
597,http://www.armslist.com/posts/4651597,For Sale:  Kahr CW40 40S&W NEW IN BOX,"Lewisburg, West Virginia, United States",$ 350,"Listed On: Monday, September 14, 2015",Handguns,Kahr                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"Kahr CW40, 40S&W. Pistol is brand new in the box and unfired outside the factory."
599,http://www.armslist.com/posts/4651599,"For Sale:  Springfield V10 Ultra Compact ""Super Tuned"" & Ported - .45acp - $950","Hamilton, OH, Cincinnati, Ohio",$ 950,"Listed On: Monday, August 31, 2015",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"1999 Springfield V10 Ultra Compact ""Super Tuned"" & ported Stainless 1911
Stainless, .45 acp, two magazines, original case, paperwork and cleaning kit.
Super tuned included:
Tuned extractors, polished feed ramps, trigger job, Novack sites, skeleton trigger (Chip McCormick Carbon Fiber/Titanium), extended safety arm and beavertail grip safety.
This gun is tight and the springs are stiff.  6+1 capacity
You either love or hate the venting and porting.
A very unique gun.
$950  
Shipping FFL to FFL is $45 to cover my FFL fees and shipping charges
No trades at this time"
601,http://www.armslist.com/posts/4651601,"For Sale:  Limited Production Sig Sauer Custom Gun Shop P226-""SAS"", in .40 S&W","Kodak/Sevierville, Knoxville, Tennessee",$ 845,"Listed On: Monday, August 31, 2015",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"SIG SAUER® Custom Shop’s ultimate in concealed carry, the Limited Production P226 SIG Anti-Snag™ Pistol Chambered in .40 S&W. This pistol utilizes the new DAK™ trigger system and features a smooth, dehorned stainless steel slide with front SIGLITE® Night Sight and a contrast rear sight over a light weight black hard-anodized alloy frame with rounded trigger guard and dust covered.  Also comes with a new set of custom Sig Platinum Aluminum Grips, and set of original Sig rubber tactical grips. Two Sig mag’s with capacity of 12 rounds each. Original Sig case, with safety and owner’s manual.

Mature Owner, US Army Veteran.

Call/Text REDACTED.

$849.00 or Best Reasonable Offer.  Will consider some degree of travel for the right offer.

Thank You for Looking."
602,http://www.armslist.com/posts/4651602,For Sale:  winchester 1300 defender unfired,"ellenton/parrish, Tampa/St. Pete, Florida",FREE,"Listed On: Monday, August 31, 2015",Shotguns,Winchester                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"unfired in box     18in barrel 2 1/2 and 3 in   syn stock   mint condition 
$475  cash or trade"
603,http://www.armslist.com/posts/4651603,For Sale:  CZ Bren 805 PS1 w/ brace,"Nashville / Murfreesboro, Nashville, Tennessee","$ 1,950","Listed On: Monday, August 31, 2015",Handguns,CZ USA                                                                                ,223/5.56 NATO                                                                                ,Single Action                                                                                ,Pistol,"For sale is a CZ Bren 805 PS1 in 5.56, the big brother to the Scorpion. An awesome platform for a Form 1. Similar to a SCAR without the pricetag. Very popular gun right now and this one had the brace adapter and Sig gen 2 brace, it's ready to go.

Asking $1950 FTF Middle TN

Will come with. Box, paperwork, factory iron sights. Maybe 200 rounds through it, it's in excellent condition. Just need to fund another gun Im after."
604,http://www.armslist.com/posts/4651604,For Sale:  Colt 1908 hamerless  .380 nickel,"nw, Oklahoma City, Oklahoma","$ 1,150","Listed On: Sunday, October 11, 2015",Handguns,Colt                                                                                ,380 ACP                                                                                ,no type,Pistol,"this was made 1924 ,  in really good shape , hard to find , even if you want one they don't show up for sale often."
605,http://www.armslist.com/posts/4651605,For Sale:  Glock 42 like new in Box,"Orlando, Orlando, Florida",FREE,"Listed On: Sunday, September 6, 2015",Handguns,no type,no type,no type,no type,"Like new in the Box Glock 42 with all factory stuff make a offer
Have ammo also 225 make me a offer"
606,http://www.armslist.com/posts/4651606,For Sale:  TC Omega Z5 with Nikon,"Collierville, Memphis, Tennessee",$ 350,"Listed On: Monday, August 31, 2015",Muzzle,Thompson Center                                                                                ,50 Black Powder                                                                                ,no type,Muzzle Loader,TC Omega Z5 50Cal muzzleloader in excellent condition. Comes with a Nikon 3-9 BDC scope (sighted in at 100yds) and all accessories. Would be willing to sell only the rifle for $250.
607,http://www.armslist.com/posts/4651607,For Trade:  Marlin 881 jm stamped barrel & remington 550-1 both 22s,"Cleveland, Cleveland, Ohio",Offer,"Listed On: Sunday, October 4, 2015",Rifles,Marlin                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,"Marlin 881 tube feed bolt action with jm stamped barrel it's in great condition $ 300 obo 
Remington 550-1 tube feed semi auto it's in fair condition but shoots & cycles great $ 200 obo.
Can email more pics"
608,http://www.armslist.com/posts/4651608,For Sale:  Sig Sauer 516 Patrol Piston AR Rifle ACS Stock,"Matthews NC, Charlotte, North Carolina","$ 1,100","Listed On: Monday, August 31, 2015",Rifles,Sig Sauer                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Like new Gen 2 516 
Ambi controls
1 pmag
AAC Muzzle Brake
ACS Buttstock with storage
Generation 2

Very reliable. Will Shoot any ammo. 4 position gas piston system
REDACTED
Priced to sell!
No trades"
